mem num,reason for leaving
104214,Moving from Area
104202,Moving from Area
104106,Moving from Area
104086,Moving from Area
104080,Moving from Area
104078,Moving from Area
104018,Moving from Area
104994,Moving from Area
104980,Moving from Area
104978,Moving from Area
104626,Moving from Area
104624,Moving from Area
104294,Moving from Area
104286,Moving from Area
104274,Moving from Area
104138,Moving from Area
103854,Moving from Area
103828,Moving from Area
103816,Moving from Area
103812,Moving from Area
103778,Moving from Area
103736,Moving from Area
103654,Moving from Area
103646,Moving from Area
103638,Moving from Area
103632,Moving from Area
103538,Moving from Area
103532,Moving from Area
103530,Moving from Area
103522,Moving from Area
103444,Moving from Area
103374,Moving from Area
103284,Moving from Area
103236,Moving from Area
103232,Moving from Area
103200,Moving from Area
105298,Moving from Area
105290,Moving from Area
103186,Moving from Area
103026,Moving from Area
102784,Moving from Area
102766,Moving from Area
102678,Moving from Area
102664,Moving from Area
102614,Moving from Area
102612,Moving from Area
102608,Moving from Area
102572,Moving from Area
102554,Moving from Area
102544,Moving from Area
102478,Moving from Area
102458,Moving from Area
102452,Moving from Area
102100,Moving from Area
102024,Moving from Area
102016,Moving from Area
102002,Moving from Area
101986,Moving from Area
101974,Moving from Area
101860,Moving from Area
116244,Moving from Area
116410,Moving from Area
116424,Moving from Area
116422,Moving from Area
116422,Moving from Area
115248,Moving from Area
115234,Moving from Area
115210,Moving from Area
115174,Moving from Area
115156,Moving from Area
115152,Moving from Area
115146,Moving from Area
115130,Moving from Area
115128,Moving from Area
115106,Moving from Area
115098,Moving from Area
115092,Moving from Area
115088,Moving from Area
114870,Moving from Area
114866,Moving from Area
114864,Moving from Area
114822,Moving from Area
114816,Moving from Area
114814,Moving from Area
114812,Moving from Area
114804,Moving from Area
114788,Moving from Area
114770,Moving from Area
114736,Moving from Area
114724,Moving from Area
114706,Moving from Area
114692,Moving from Area
114686,Moving from Area
114678,Moving from Area
114658,Moving from Area
42074,Moving from Area
112374,Moving from Area
112366,Moving from Area
112364,Moving from Area
112356,Moving from Area
112354,Moving from Area
112326,Moving from Area
112314,Moving from Area
112310,Moving from Area
112274,Moving from Area
112220,Moving from Area
112198,Moving from Area
112196,Moving from Area
112192,Moving from Area
112182,Moving from Area
112180,Moving from Area
112158,Moving from Area
112154,Moving from Area
112136,Moving from Area
112128,Moving from Area
112124,Moving from Area
112122,Moving from Area
112092,Moving from Area
112082,Moving from Area
111912,Moving from Area
111880,Moving from Area
111782,Moving from Area
111780,Moving from Area
111764,Moving from Area
111740,Moving from Area
111704,Moving from Area
111680,Moving from Area
111662,Moving from Area
111660,Moving from Area
111400,Moving from Area
111380,Moving from Area
111378,Moving from Area
111428,Moving from Area
120432,Moving from Area
120424,Moving from Area
120420,Moving from Area
120412,Moving from Area
120398,Moving from Area
120396,Moving from Area
120386,Moving from Area
120384,Moving from Area
120376,Moving from Area
120370,Moving from Area
120364,Moving from Area
120352,Moving from Area
120286,Moving from Area
120284,Moving from Area
120278,Moving from Area
120256,Moving from Area
120246,Moving from Area
120232,Moving from Area
120198,Moving from Area
120186,Moving from Area
120166,Moving from Area
120136,Moving from Area
120108,Moving from Area
119990,Moving from Area
119972,Moving from Area
114726,Moving from Area
119922,Moving from Area
119904,Moving from Area
119894,Moving from Area
119878,Moving from Area
119828,Moving from Area
119776,Moving from Area
119766,Moving from Area
119762,Moving from Area
119706,Moving from Area
119682,Moving from Area
119666,Moving from Area
119664,Moving from Area
119616,Moving from Area
119544,Moving from Area
119542,Moving from Area
119528,Moving from Area
119526,Moving from Area
119514,Moving from Area
119512,Moving from Area
119500,Moving from Area
119476,Moving from Area
119474,Moving from Area
119408,Moving from Area
119386,Moving from Area
119384,Moving from Area
119318,Moving from Area
119288,Moving from Area
119262,Moving from Area
119196,Moving from Area
119166,Moving from Area
119022,Moving from Area
118938,Moving from Area
118930,Moving from Area
118920,Moving from Area
118542,Moving from Area
118742,Moving from Area
118698,Moving from Area
118654,Moving from Area
118608,Moving from Area
118584,Moving from Area
118582,Moving from Area
118540,Moving from Area
118532,Moving from Area
118532,Moving from Area
118480,Moving from Area
118450,Moving from Area
118414,Moving from Area
122496,Moving from Area
122470,Moving from Area
122468,Moving from Area
122464,Moving from Area
122462,Moving from Area
122458,Moving from Area
122450,Moving from Area
122422,Moving from Area
122382,Moving from Area
122374,Moving from Area
122372,Moving from Area
122362,Moving from Area
122360,Moving from Area
122358,Moving from Area
122346,Moving from Area
122330,Moving from Area
122302,Moving from Area
122298,Moving from Area
122284,Moving from Area
122282,Moving from Area
122278,Moving from Area
122272,Moving from Area
122274,Moving from Area
122260,Moving from Area
122246,Moving from Area
122242,Moving from Area
122232,Moving from Area
122230,Moving from Area
122228,Moving from Area
122224,Moving from Area
122214,Moving from Area
122204,Moving from Area
122202,Moving from Area
122196,Moving from Area
122184,Moving from Area
122194,Moving from Area
122152,Moving from Area
122150,Moving from Area
122146,Moving from Area
122144,Moving from Area
122142,Moving from Area
122134,Moving from Area
122130,Moving from Area
122108,Moving from Area
122104,Moving from Area
122102,Moving from Area
122078,Moving from Area
122030,Moving from Area
122026,Moving from Area
122022,Moving from Area
122014,Moving from Area
122004,Moving from Area
122000,Moving from Area
121994,Moving from Area
121992,Moving from Area
121982,Moving from Area
121942,Moving from Area
121936,Moving from Area
121932,Moving from Area
121898,Moving from Area
121886,Moving from Area
121882,Moving from Area
121874,Moving from Area
121872,Moving from Area
121860,Moving from Area
121850,Moving from Area
121718,Moving from Area
121690,Moving from Area
121610,Moving from Area
121598,Moving from Area
121548,Moving from Area
121520,Moving from Area
121516,Moving from Area
134186,Moving from Area
134176,Moving from Area
134172,Moving from Area
134170,Moving from Area
134168,Moving from Area
134136,Moving from Area
134132,Moving from Area
134106,Moving from Area
134100,Moving from Area
134098,Moving from Area
134092,Moving from Area
134090,Moving from Area
134082,Moving from Area
134078,Moving from Area
134076,Moving from Area
134072,Moving from Area
134058,Moving from Area
134056,Moving from Area
134054,Moving from Area
134052,Moving from Area
134046,Moving from Area
134018,Moving from Area
133956,Moving from Area
133954,Moving from Area
133950,Moving from Area
133942,Moving from Area
133940,Moving from Area
133920,Moving from Area
133878,Moving from Area
133850,Moving from Area
133830,Moving from Area
133828,Moving from Area
133808,Moving from Area
133802,Moving from Area
133796,Moving from Area
133794,Moving from Area
133792,Moving from Area
133790,Moving from Area
133786,Moving from Area
133784,Moving from Area
133768,Moving from Area
133766,Moving from Area
133738,Moving from Area
133732,Moving from Area
133728,Moving from Area
133712,Moving from Area
133708,Moving from Area
133704,Moving from Area
133702,Moving from Area
133696,Moving from Area
133694,Moving from Area
133690,Moving from Area
133670,Moving from Area
133660,Moving from Area
133636,Moving from Area
133624,Moving from Area
133620,Moving from Area
133618,Moving from Area
133614,Moving from Area
133598,Moving from Area
133596,Moving from Area
133592,Moving from Area
133588,Moving from Area
133586,Moving from Area
133566,Moving from Area
133544,Moving from Area
133540,Moving from Area
133528,Moving from Area
133526,Moving from Area
133522,Moving from Area
133516,Moving from Area
133510,Moving from Area
133506,Moving from Area
133494,Moving from Area
133492,Moving from Area
133490,Moving from Area
133476,Moving from Area
133474,Moving from Area
133472,Moving from Area
133464,Moving from Area
133456,Moving from Area
133452,Moving from Area
133446,Moving from Area
133440,Moving from Area
133432,Moving from Area
133430,Moving from Area
133416,Moving from Area
133400,Moving from Area
133378,Moving from Area
133370,Moving from Area
133350,Moving from Area
133348,Moving from Area
133338,Moving from Area
133284,Moving from Area
133282,Moving from Area
133280,Moving from Area
133260,Moving from Area
133256,Moving from Area
133238,Moving from Area
133202,Moving from Area
133194,Moving from Area
133182,Moving from Area
133180,Moving from Area
133178,Moving from Area
133162,Moving from Area
133158,Moving from Area
133150,Moving from Area
133148,Moving from Area
133146,Moving from Area
133140,Moving from Area
133110,Moving from Area
133098,Moving from Area
133074,Moving from Area
133028,Moving from Area
133016,Moving from Area
133006,Moving from Area
133004,Moving from Area
132998,Moving from Area
132986,Moving from Area
132968,Moving from Area
132958,Moving from Area
132928,Moving from Area
132910,Moving from Area
132890,Moving from Area
132888,Moving from Area
132850,Moving from Area
132830,Moving from Area
132828,Moving from Area
132798,Moving from Area
132786,Moving from Area
132780,Moving from Area
132774,Moving from Area
132770,Moving from Area
132754,Moving from Area
132740,Moving from Area
132730,Moving from Area
132718,Moving from Area
132706,Moving from Area
132696,Moving from Area
132686,Moving from Area
132682,Moving from Area
132680,Moving from Area
132676,Moving from Area
132610,Moving from Area
132590,Moving from Area
132566,Moving from Area
132562,Moving from Area
132552,Moving from Area
132544,Moving from Area
132538,Moving from Area
132530,Moving from Area
132514,Moving from Area
132500,Moving from Area
132486,Moving from Area
132462,Moving from Area
132456,Moving from Area
132440,Moving from Area
132436,Moving from Area
132430,Moving from Area
132426,Moving from Area
132420,Moving from Area
132416,Moving from Area
132356,Moving from Area
132326,Moving from Area
132304,Moving from Area
132240,Moving from Area
