mem num,zipcode
109188,48103
109188,48103
109188,48103
109188,48103
109188,48103
109188,48103
109190,48104
109190,48104
109190,48104
109190,48104
109192,48108
109194,48198
109194,48198
109194,48198
109194,48198
109194,48198
109196,48198
109196,48198
109196,48198
109196,48198
109196,48198
109198,48176
109202,48103
109202,48103
109202,48103
109202,48103
109202,48103
109202,48103
109204,48176
109210,48108
109212,48108
109214,48105
109214,48105
109214,48105
109214,48105
109214,48105
109214,48105
109216,48105
109216,48105
109216,48105
109216,48105
109216,48105
109216,48105
109220,48103
109220,48103
109220,48103
109220,48103
109220,48103
109220,48103
109222,48104
109222,48104
109222,48104
109222,48104
109232,48103
109232,48103
109232,48103
109232,48103
109232,48103
109232,48103
109234,48103
109234,48103
109234,48103
109234,48103
109234,48103
109234,48103
109236,489111017
109238,48103
109238,48103
109238,48103
109238,48103
109238,48103
109238,48103
109242,48105
109242,48105
109242,48105
109242,48105
109242,48105
109242,48105
109248,48103
109248,48103
109248,48103
109248,48103
109248,48103
109248,48103
109250,48103
109250,48103
109250,48103
109250,48103
109250,48103
109250,48103
109260,48198
109260,48198
109260,48198
109260,48198
109260,48198
109270,48103
109270,48103
109270,48103
109270,48103
109270,48103
109270,48103
109272,48103
109272,48103
109272,48103
109272,48103
109272,48103
109272,48103
109276,48103
109276,48103
109276,48103
109276,48103
109276,48103
109276,48103
109278,48103
109278,48103
109278,48103
109278,48103
109278,48103
109278,48103
108986,48105
108986,48105
108986,48105
108986,48105
108986,48105
108986,48105
108992,48198
108992,48198
108992,48198
108992,48198
108992,48198
108996,48105
108996,48105
108996,48105
108996,48105
108996,48105
108996,48105
108998,48103
108998,48103
108998,48103
108998,48103
108998,48103
108998,48103
109002,48104
109002,48104
109002,48104
109002,48104
109006,48104
109006,48104
109006,48104
109006,48104
109008,48103
109008,48103
109008,48103
109008,48103
109008,48103
109008,48103
109010,48103
109010,48103
109010,48103
109010,48103
109010,48103
109010,48103
109012,48197
109012,48197
109012,48197
109012,48197
109012,48197
109012,48197
109014,48108
109018,48103
109018,48103
109018,48103
109018,48103
109018,48103
109018,48103
109020,48104
109020,48104
109020,48104
109020,48104
109022,48103
109022,48103
109022,48103
109022,48103
109022,48103
109022,48103
109026,48197
109026,48197
109026,48197
109026,48197
109026,48197
109026,48197
109036,48103
109036,48103
109036,48103
109036,48103
109036,48103
109036,48103
109038,48108
109040,48101
109042,48108
109048,48111
109048,48111
109048,48111
109048,48111
109050,48197
109050,48197
109050,48197
109050,48197
109050,48197
109050,48197
109052,48103
109052,48103
109052,48103
109052,48103
109052,48103
109052,48103
109054,48105
109054,48105
109054,48105
109054,48105
109054,48105
109054,48105
109056,48105
109056,48105
109056,48105
109056,48105
109056,48105
109056,48105
109058,48103
109058,48103
109058,48103
109058,48103
109058,48103
109058,48103
109060,48103
109060,48103
109060,48103
109060,48103
109060,48103
109060,48103
109062,48105
109062,48105
109062,48105
109062,48105
109062,48105
109062,48105
109064,48108
109066,48104
109066,48104
109066,48104
109066,48104
109070,48106
109072,48105
109072,48105
109072,48105
109072,48105
109072,48105
109072,48105
109074,48103
109074,48103
109074,48103
109074,48103
109074,48103
109074,48103
109076,48105
109076,48105
109076,48105
109076,48105
109076,48105
109076,48105
109078,48104
109078,48104
109078,48104
109078,48104
109080,48189
109080,48189
109080,48189
109080,48189
109082,48197
109082,48197
109082,48197
109082,48197
109082,48197
109082,48197
109084,48103
109084,48103
109084,48103
109084,48103
109084,48103
109084,48103
109086,48104
109086,48104
109086,48104
109086,48104
109088,48103
109088,48103
109088,48103
109088,48103
109088,48103
109088,48103
109096,48105
109096,48105
109096,48105
109096,48105
109096,48105
109096,48105
109100,48105
109100,48105
109100,48105
109100,48105
109100,48105
109100,48105
109102,48197
109102,48197
109102,48197
109102,48197
109102,48197
109102,48197
109104,55403
109106,48103
109106,48103
109106,48103
109106,48103
109106,48103
109106,48103
109118,48103
109118,48103
109118,48103
109118,48103
109118,48103
109118,48103
109128,48198
109128,48198
109128,48198
109128,48198
109128,48198
109130,48103
109130,48103
109130,48103
109130,48103
109130,48103
109130,48103
109132,48103
109132,48103
109132,48103
109132,48103
109132,48103
109132,48103
109136,48104
109136,48104
109136,48104
109136,48104
108844,48180
108846,48108
108854,48103
108854,48103
108854,48103
108854,48103
108854,48103
108854,48103
108862,48104
108862,48104
108862,48104
108862,48104
108864,48103
108864,48103
108864,48103
108864,48103
108864,48103
108864,48103
108876,48104
108876,48104
108876,48104
108876,48104
108884,48198
108884,48198
108884,48198
108884,48198
108884,48198
108888,48103
108888,48103
108888,48103
108888,48103
108888,48103
108888,48103
108890,48103
108890,48103
108890,48103
108890,48103
108890,48103
108890,48103
108898,48103
108898,48103
108898,48103
108898,48103
108898,48103
108898,48103
108904,48197
108904,48197
108904,48197
108904,48197
108904,48197
108904,48197
108910,48105
108910,48105
108910,48105
108910,48105
108910,48105
108910,48105
108914,48103
108914,48103
108914,48103
108914,48103
108914,48103
108914,48103
108918,48103
108918,48103
108918,48103
108918,48103
108918,48103
108918,48103
108920,48103
108920,48103
108920,48103
108920,48103
108920,48103
108920,48103
108922,48103
108922,48103
108922,48103
108922,48103
108922,48103
108922,48103
108928,48103
108928,48103
108928,48103
108928,48103
108928,48103
108928,48103
